N_of_Goal,Date,Home_team,Away_team,Minute,What,How,Jersey,Competition_abb,Competition_name,Goals_H,Goals_A,Result,Leo_age,Leo_team,Scored_team,Home_or_Away,Leo_result,Partial_Score_H,Partial_Score_A,Minute_adjusted,Goal_time_period
681,2019-11-15,Brazil,Argentina,13,Rebound,Left foot,10,FRN,International friendly,0,1,Away,32,Argentina,Brazil,Away,Won,0,1,13,First half
680,2019-11-09,FC Barcelona,Celta de Vigo,48,Free kick,Left foot,10,PRM,La Liga,4,1,Home,32,FC Barcelona,Celta de Vigo,Home,Won,3,1,48,Second half
679,2019-11-09,FC Barcelona,Celta de Vigo,45,Free kick,Left foot,10,PRM,La Liga,4,1,Home,32,FC Barcelona,Celta de Vigo,Home,Won,2,1,45,First half
678,2019-11-09,FC Barcelona,Celta de Vigo,23,Penalty,Left foot,10,PRM,La Liga,4,1,Home,32,FC Barcelona,Celta de Vigo,Home,Won,1,0,23,First half
677,2019-11-02,Levante,FC Barcelona,38,Penalty,Left foot,10,PRM,La Liga,3,1,Home,32,FC Barcelona,Levante,Away,Lost,0,1,38,First half
676,2019-10-29,FC Barcelona,Real Valladolid,75,Field goal,Left foot,10,PRM,La Liga,5,1,Home,32,FC Barcelona,Real Valladolid,Home,Won,4,1,75,Second half
675,2019-10-29,FC Barcelona,Real Valladolid,34,Free kick,Left foot,10,PRM,La Liga,5,1,Home,32,FC Barcelona,Real Valladolid,Home,Won,3,1,34,First half
674,2019-10-23,Slavia Prague,FC Barcelona,3,Field goal,Left foot,10,EUR,UEFA Champions League,1,2,Away,32,FC Barcelona,Slavia Prague,Away,Won,0,1,3,First half
673,2019-10-19,Eibar,FC Barcelona,58,Field goal,Left foot,10,PRM,La Liga,0,3,Away,32,FC Barcelona,Eibar,Away,Won,0,2,58,Second half
672,2019-10-06,FC Barcelona,Sevilla,78,Free kick,Left foot,10,PRM,La Liga,4,0,Home,32,FC Barcelona,Sevilla,Home,Won,4,0,78,Second half
671,2019-06-19,Argentina,Paraguay,57,Penalty,Left foot,10,CPA,Copa América 2019,1,1,Draw,31,Argentina,Paraguay,Home,Tied,1,1,57,Second half
670,2019-06-08,Argentina,Nicaragua,38,Rebound,Left foot,10,FRN,International friendly,5,1,Home,31,Argentina,Nicaragua,Home,Won,2,0,38,First half
