N_of_Goal,Date,Home_team,Away_team,Minute,What,How,Jersey,Competition_abb,Competition_name,Goals_H,Goals_A,Result,Leo_age,Leo_team,Scored_team,Home_or_Away,Leo_result,Partial_Score_H,Partial_Score_A,Minute_adjusted,Goal_time_period
564,2017-05-21,FC Barcelona,Eibar,90+2,Solo run,Right foot,10,PRM,La Liga,4,2,Home,29,FC Barcelona,Eibar,Home,Won,4,2,92,Additional time
563,2017-05-21,FC Barcelona,Eibar,76,Penalty,Left foot,10,PRM,La Liga,4,2,Home,29,FC Barcelona,Eibar,Home,Won,3,2,76,Second half
562,2017-05-06,FC Barcelona,Villarreal,82,Penalty,Left foot,10,PRM,La Liga,4,1,Home,29,FC Barcelona,Villarreal,Home,Won,4,1,82,Second half
561,2017-05-06,FC Barcelona,Villarreal,45,Field goal,Left foot,10,PRM,La Liga,4,1,Home,29,FC Barcelona,Villarreal,Home,Won,2,1,45,First half
560,2017-04-26,FC Barcelona,Osasuna,61,Field goal,Left foot,10,PRM,La Liga,7,1,Home,29,FC Barcelona,Osasuna,Home,Won,4,1,61,Second half
559,2017-04-26,FC Barcelona,Osasuna,12,Field goal,Left foot,10,PRM,La Liga,7,1,Home,29,FC Barcelona,Osasuna,Home,Won,1,0,12,First half
558,2017-04-23,Real Madrid,FC Barcelona,90+2,Field goal,Left foot,10,PRM,La Liga,2,3,Away,29,FC Barcelona,Real Madrid,Away,Won,2,3,92,Additional time
557,2017-04-23,Real Madrid,FC Barcelona,33,Field goal,Left foot,10,PRM,La Liga,2,3,Away,29,FC Barcelona,Real Madrid,Away,Won,1,1,33,First half
556,2017-04-15,FC Barcelona,Real Sociedad,37,Rebound,Left foot,10,PRM,La Liga,3,2,Home,29,FC Barcelona,Real Sociedad,Home,Won,2,0,37,First half
555,2017-04-15,FC Barcelona,Real Sociedad,17,Field goal,Left foot,10,PRM,La Liga,3,2,Home,29,FC Barcelona,Real Sociedad,Home,Won,1,0,17,First half
554,2017-04-05,FC Barcelona,Sevilla,33,Field goal,Left foot,10,PRM,La Liga,3,0,Home,29,FC Barcelona,Sevilla,Home,Won,3,0,33,First half
553,2017-04-05,FC Barcelona,Sevilla,28,Field goal,Right foot,10,PRM,La Liga,3,0,Home,29,FC Barcelona,Sevilla,Home,Won,2,0,28,First half
552,2017-03-23,Argentina,Chile,16,Penalty,Left foot,10,WCQ,World Cup 2018 Qualification,1,0,Home,29,Argentina,Chile,Home,Won,1,0,16,First half
551,2017-03-19,FC Barcelona,Valencia,53,Field goal,Right foot,10,PRM,La Liga,4,2,Home,29,FC Barcelona,Valencia,Home,Won,3,2,53,Second half
550,2017-03-19,FC Barcelona,Valencia,45,Penalty,Left foot,10,PRM,La Liga,4,2,Home,29,FC Barcelona,Valencia,Home,Won,2,1,45,First half
549,2017-03-08,FC Barcelona,Paris Saint-Germain,50,Penalty,Left foot,10,EUR,UEFA Champions League,6,1,Home,29,FC Barcelona,Paris Saint-Germain,Home,Won,3,0,50,Second half
548,2017-03-04,FC Barcelona,Celta de Vigo,64,Solo run,Left foot,10,PRM,La Liga,5,0,Home,29,FC Barcelona,Celta de Vigo,Home,Won,5,0,64,Second half
547,2017-03-04,FC Barcelona,Celta de Vigo,24,Solo run,Left foot,10,PRM,La Liga,5,0,Home,29,FC Barcelona,Celta de Vigo,Home,Won,1,0,24,First half
546,2017-03-01,FC Barcelona,Sporting Gijón,9,Field goal,Head,10,PRM,La Liga,6,1,Home,29,FC Barcelona,Sporting Gijón,Home,Won,1,0,9,First half
545,2017-02-26,Atlético Madrid,FC Barcelona,87,Rebound,Left foot,10,PRM,La Liga,1,2,Away,29,FC Barcelona,Atlético Madrid,Away,Won,1,2,87,Second half
544,2017-02-19,FC Barcelona,Leganés,89,Penalty,Left foot,10,PRM,La Liga,2,1,Home,29,FC Barcelona,Leganés,Home,Won,2,1,89,Second half
543,2017-02-19,FC Barcelona,Leganés,4,Field goal,Right foot,10,PRM,La Liga,2,1,Home,29,FC Barcelona,Leganés,Home,Won,1,0,4,First half
542,2017-02-11,Alavés,FC Barcelona,59,Field goal,Left foot,10,PRM,La Liga,0,6,Away,29,FC Barcelona,Alavés,Away,Won,0,3,59,Second half
541,2017-02-04,FC Barcelona,Athletic de Bilbao,40,Free kick,Left foot,10,PRM,La Liga,3,0,Home,29,FC Barcelona,Athletic de Bilbao,Home,Won,2,0,40,First half
540,2017-02-01,Atlético Madrid,FC Barcelona,33,Field goal,Left foot,10,CUP,Copa del Rey,1,2,Away,29,FC Barcelona,Atlético Madrid,Away,Won,0,2,33,First half
539,2017-01-26,FC Barcelona,Real Sociedad,55,Penalty,Left foot,10,CUP,Copa del Rey,5,2,Home,29,FC Barcelona,Real Sociedad,Home,Won,2,0,55,Second half
538,2017-01-22,Eibar,FC Barcelona,50,Field goal,Left foot,10,PRM,La Liga,0,4,Away,29,FC Barcelona,Eibar,Away,Won,0,2,50,Second half
537,2017-01-14,FC Barcelona,Las Palmas,52,Rebound,Right foot,10,PRM,La Liga,5,0,Home,29,FC Barcelona,Las Palmas,Home,Won,2,0,52,Second half
536,2017-01-11,FC Barcelona,Athletic de Bilbao,78,Free kick,Left foot,10,CUP,Copa del Rey,3,1,Home,29,FC Barcelona,Athletic de Bilbao,Home,Won,3,1,78,Second half
535,2017-01-08,Villarreal,FC Barcelona,90,Free kick,Left foot,10,PRM,La Liga,1,1,Draw,29,FC Barcelona,Villarreal,Away,Tied,1,1,90,Second half
534,2017-01-05,Athletic de Bilbao,FC Barcelona,52,Free kick,Left foot,10,CUP,Copa del Rey,2,1,Home,29,FC Barcelona,Athletic de Bilbao,Away,Lost,2,1,52,Second half
533,2016-12-18,FC Barcelona,Espanyol,90,Field goal,Left foot,10,PRM,La Liga,4,1,Home,29,FC Barcelona,Espanyol,Home,Won,4,1,90,Second half
532,2016-12-10,Osasuna,FC Barcelona,90+2,Solo run,Left foot,10,PRM,La Liga,0,3,Away,29,FC Barcelona,Osasuna,Away,Won,0,3,92,Additional time
531,2016-12-10,Osasuna,FC Barcelona,72,Field goal,Left foot,10,PRM,La Liga,0,3,Away,29,FC Barcelona,Osasuna,Away,Won,0,2,72,Second half
530,2016-12-06,FC Barcelona,Borussia Mönchengladbach,16,Field goal,Left foot,10,EUR,UEFA Champions League,4,0,Home,29,FC Barcelona,Borussia Mönchengladbach,Home,Won,1,0,16,First half
529,2016-11-27,Real Sociedad,FC Barcelona,59,Field goal,Left foot,10,PRM,La Liga,1,1,Draw,29,FC Barcelona,Real Sociedad,Away,Tied,1,1,59,Second half
528,2016-11-23,Celtic,FC Barcelona,55,Penalty,Left foot,10,EUR,UEFA Champions League,0,2,Away,29,FC Barcelona,Celtic,Away,Won,0,2,55,Second half
527,2016-11-23,Celtic,FC Barcelona,24,Field goal,Left foot,10,EUR,UEFA Champions League,0,2,Away,29,FC Barcelona,Celtic,Away,Won,0,1,24,First half
526,2016-11-15,Argentina,Colombia,10,Free kick,Left foot,10,WCQ,World Cup 2018 Qualification,3,0,Home,29,Argentina,Colombia,Home,Won,1,0,10,First half
525,2016-11-06,Sevilla,FC Barcelona,43,Field goal,Left foot,10,PRM,La Liga,1,2,Away,29,FC Barcelona,Sevilla,Away,Won,1,1,43,First half
524,2016-11-01,Manchester City,FC Barcelona,21,Field goal,Left foot,10,EUR,UEFA Champions League,3,1,Home,29,FC Barcelona,Manchester City,Away,Lost,0,1,21,First half
523,2016-10-22,Valencia,FC Barcelona,90+4,Penalty,Left foot,10,PRM,La Liga,2,3,Away,29,FC Barcelona,Valencia,Away,Won,2,3,94,Additional time
522,2016-10-22,Valencia,FC Barcelona,22,Field goal,Left foot,10,PRM,La Liga,2,3,Away,29,FC Barcelona,Valencia,Away,Won,0,1,22,First half
521,2016-10-19,FC Barcelona,Manchester City,69,Field goal,Left foot,10,EUR,UEFA Champions League,4,0,Home,29,FC Barcelona,Manchester City,Home,Won,3,0,69,Second half
520,2016-10-19,FC Barcelona,Manchester City,61,Field goal,Left foot,10,EUR,UEFA Champions League,4,0,Home,29,FC Barcelona,Manchester City,Home,Won,2,0,61,Second half
519,2016-10-19,FC Barcelona,Manchester City,17,Field goal,Left foot,10,EUR,UEFA Champions League,4,0,Home,29,FC Barcelona,Manchester City,Home,Won,1,0,17,First half
518,2016-10-15,FC Barcelona,Deportivo La Coruña,58,Field goal,Left foot,10,PRM,La Liga,4,0,Home,29,FC Barcelona,Deportivo La Coruña,Home,Won,4,0,58,Second half
517,2016-09-17,Leganés,FC Barcelona,55,Penalty,Left foot,10,PRM,La Liga,1,5,Away,29,FC Barcelona,Leganés,Away,Won,0,4,55,Second half
516,2016-09-17,Leganés,FC Barcelona,15,Field goal,Left foot,10,PRM,La Liga,1,5,Away,29,FC Barcelona,Leganés,Away,Won,0,1,15,First half
515,2016-09-13,FC Barcelona,Celtic,60,Field goal,Left foot,10,EUR,UEFA Champions League,7,0,Home,29,FC Barcelona,Celtic,Home,Won,5,0,60,Second half
514,2016-09-13,FC Barcelona,Celtic,27,Field goal,Left foot,10,EUR,UEFA Champions League,7,0,Home,29,FC Barcelona,Celtic,Home,Won,2,0,27,First half
513,2016-09-13,FC Barcelona,Celtic,3,Field goal,Left foot,10,EUR,UEFA Champions League,7,0,Home,29,FC Barcelona,Celtic,Home,Won,1,0,3,First half
512,2016-09-01,Argentina,Uruguay,43,Field goal,Left foot,10,WCQ,World Cup 2018 Qualification,1,0,Home,29,Argentina,Uruguay,Home,Won,1,0,43,First half
511,2016-08-20,FC Barcelona,Real Betis,57,Field goal,Left foot,10,PRM,La Liga,6,2,Home,29,FC Barcelona,Real Betis,Home,Won,5,1,57,Second half
510,2016-08-20,FC Barcelona,Real Betis,37,Field goal,Left foot,10,PRM,La Liga,6,2,Home,29,FC Barcelona,Real Betis,Home,Won,2,1,37,First half
509,2016-08-17,FC Barcelona,Sevilla,55,Field goal,Head,10,SUP,Spanish Super Cup,3,0,Home,29,FC Barcelona,Sevilla,Home,Won,3,0,55,Second half
508,2016-06-21,United States,Argentina,32,Free kick,Left foot,10,CPA,Copa América Centenario,0,4,Away,28,Argentina,United States,Away,Won,0,2,32,First half
507,2016-06-18,Argentina,Venezuela,60,Field goal,Left foot,10,CPA,Copa América Centenario,4,1,Home,28,Argentina,Venezuela,Home,Won,3,0,60,Second half
506,2016-06-10,Argentina,Panama,87,Field goal,Left foot,10,CPA,Copa América Centenario,5,0,Home,28,Argentina,Panama,Home,Won,4,0,87,Second half
505,2016-06-10,Argentina,Panama,78,Free kick,Left foot,10,CPA,Copa América Centenario,5,0,Home,28,Argentina,Panama,Home,Won,3,0,78,Second half
504,2016-06-10,Argentina,Panama,68,Field goal,Left foot,10,CPA,Copa América Centenario,5,0,Home,28,Argentina,Panama,Home,Won,2,0,68,Second half
503,2016-05-08,FC Barcelona,Espanyol,8,Free kick,Left foot,10,PRM,La Liga,5,0,Home,28,FC Barcelona,Espanyol,Home,Won,1,0,8,First half
502,2016-04-23,FC Barcelona,Sporting Gijón,12,Rebound,Head,10,PRM,La Liga,6,0,Home,28,FC Barcelona,Sporting Gijón,Home,Won,1,0,12,First half
501,2016-04-20,Deportivo La Coruña,FC Barcelona,73,Field goal,Left foot,10,PRM,La Liga,0,8,Away,28,FC Barcelona,Deportivo La Coruña,Away,Won,0,6,73,Second half
500,2016-04-17,FC Barcelona,Valencia,63,Field goal,Right foot,10,PRM,La Liga,1,2,Away,28,FC Barcelona,Valencia,Home,Lost,1,2,63,Second half
499,2016-03-29,Argentina,Bolivia,30,Penalty,Left foot,10,WCQ,World Cup 2018 Qualification,2,0,Home,28,Argentina,Bolivia,Home,Won,2,0,30,First half
498,2016-03-16,FC Barcelona,Arsenal,88,Field goal,Left foot,10,EUR,UEFA Champions League,3,1,Home,28,FC Barcelona,Arsenal,Home,Won,3,1,88,Second half
497,2016-03-12,FC Barcelona,Getafe,40,Field goal,Left foot,10,PRM,La Liga,6,0,Home,28,FC Barcelona,Getafe,Home,Won,4,0,40,First half
496,2016-03-06,Eibar,FC Barcelona,76,Penalty,Left foot,10,PRM,La Liga,0,4,Away,28,FC Barcelona,Eibar,Away,Won,0,3,76,Second half
495,2016-03-06,Eibar,FC Barcelona,41,Field goal,Left foot,10,PRM,La Liga,0,4,Away,28,FC Barcelona,Eibar,Away,Won,0,2,41,First half
494,2016-03-03,Rayo Vallecano,FC Barcelona,72,Field goal,Left foot,10,PRM,La Liga,1,5,Away,28,FC Barcelona,Rayo Vallecano,Away,Won,1,4,72,Second half
493,2016-03-03,Rayo Vallecano,FC Barcelona,54,Rebound,Left foot,10,PRM,La Liga,1,5,Away,28,FC Barcelona,Rayo Vallecano,Away,Won,0,3,54,Second half
492,2016-03-03,Rayo Vallecano,FC Barcelona,23,Field goal,Left foot,10,PRM,La Liga,1,5,Away,28,FC Barcelona,Rayo Vallecano,Away,Won,0,2,23,First half
491,2016-02-28,FC Barcelona,Sevilla,31,Free kick,Left foot,10,PRM,La Liga,2,1,Home,28,FC Barcelona,Sevilla,Home,Won,1,1,31,First half
490,2016-02-23,Arsenal,FC Barcelona,83,Penalty,Left foot,10,EUR,UEFA Champions League,0,2,Away,28,FC Barcelona,Arsenal,Away,Won,0,2,83,Second half
489,2016-02-23,Arsenal,FC Barcelona,71,Field goal,Left foot,10,EUR,UEFA Champions League,0,2,Away,28,FC Barcelona,Arsenal,Away,Won,0,1,71,Second half
488,2016-02-17,Sporting Gijón,FC Barcelona,31,Field goal,Left foot,10,PRM,La Liga,1,3,Away,28,FC Barcelona,Sporting Gijón,Away,Won,1,2,31,First half
487,2016-02-17,Sporting Gijón,FC Barcelona,25,Field goal,Left foot,10,PRM,La Liga,1,3,Away,28,FC Barcelona,Sporting Gijón,Away,Won,0,1,25,First half
486,2016-02-14,FC Barcelona,Celta de Vigo,28,Free kick,Left foot,10,PRM,La Liga,6,1,Home,28,FC Barcelona,Celta de Vigo,Home,Won,1,0,28,First half
485,2016-02-03,FC Barcelona,Valencia,74,Field goal,Left foot,10,CUP,Copa del Rey,7,0,Home,28,FC Barcelona,Valencia,Home,Won,5,0,74,Second half
484,2016-02-03,FC Barcelona,Valencia,58,Field goal,Left foot,10,CUP,Copa del Rey,7,0,Home,28,FC Barcelona,Valencia,Home,Won,4,0,58,Second half
483,2016-02-03,FC Barcelona,Valencia,29,Field goal,Left foot,10,CUP,Copa del Rey,7,0,Home,28,FC Barcelona,Valencia,Home,Won,3,0,29,First half
482,2016-01-30,FC Barcelona,Atlético Madrid,30,Field goal,Left foot,10,PRM,La Liga,2,1,Home,28,FC Barcelona,Atlético Madrid,Home,Won,1,1,30,First half
481,2016-01-23,Málaga,FC Barcelona,51,Field goal,Left foot,10,PRM,La Liga,1,2,Away,28,FC Barcelona,Málaga,Away,Won,1,2,51,Second half
480,2016-01-17,FC Barcelona,Athletic de Bilbao,7,Penalty,Left foot,10,PRM,La Liga,6,0,Home,28,FC Barcelona,Athletic de Bilbao,Home,Won,1,0,7,First half
479,2016-01-09,FC Barcelona,Granada,58,Rebound,Left foot,10,PRM,La Liga,4,0,Home,28,FC Barcelona,Granada,Home,Won,3,0,58,Second half
478,2016-01-09,FC Barcelona,Granada,14,Field goal,Left foot,10,PRM,La Liga,4,0,Home,28,FC Barcelona,Granada,Home,Won,2,0,14,First half
477,2016-01-09,FC Barcelona,Granada,8,Field goal,Left foot,10,PRM,La Liga,4,0,Home,28,FC Barcelona,Granada,Home,Won,1,0,8,First half
476,2016-01-06,FC Barcelona,Espanyol,44,Free kick,Left foot,10,CUP,Copa del Rey,4,1,Home,28,FC Barcelona,Espanyol,Home,Won,2,1,44,First half
475,2016-01-06,FC Barcelona,Espanyol,13,Field goal,Left foot,10,CUP,Copa del Rey,4,1,Home,28,FC Barcelona,Espanyol,Home,Won,1,1,13,First half
474,2015-12-30,FC Barcelona,Real Betis,33,Field goal,Right foot,10,PRM,La Liga,4,0,Home,28,FC Barcelona,Real Betis,Home,Won,2,0,33,First half
473,2015-12-20,CA River Plate,FC Barcelona,36,Field goal,Left foot,10,WCT,FIFA Club World Cup,0,3,Away,28,FC Barcelona,CA River Plate,Away,Won,0,1,36,First half
472,2015-12-12,FC Barcelona,Deportivo La Coruña,39,Free kick,Left foot,10,PRM,La Liga,2,2,Draw,28,FC Barcelona,Deportivo La Coruña,Home,Tied,1,0,39,First half
471,2015-12-09,Bayer Leverkusen,FC Barcelona,20,Field goal,Right foot,10,EUR,UEFA Champions League,1,1,Draw,28,FC Barcelona,Bayer Leverkusen,Away,Tied,0,1,20,First half
470,2015-11-28,FC Barcelona,Real Sociedad,90+1,Field goal,Left foot,10,PRM,La Liga,4,0,Home,28,FC Barcelona,Real Sociedad,Home,Won,4,0,91,Additional time
469,2015-11-24,FC Barcelona,AS Roma,59,Rebound,Left foot,10,EUR,UEFA Champions League,6,1,Home,28,FC Barcelona,AS Roma,Home,Won,5,0,59,Second half
468,2015-11-24,FC Barcelona,AS Roma,18,Field goal,Left foot,10,EUR,UEFA Champions League,6,1,Home,28,FC Barcelona,AS Roma,Home,Won,2,0,18,First half
467,2015-09-20,FC Barcelona,Levante,90,Solo run,Left foot,10,PRM,La Liga,4,1,Home,28,FC Barcelona,Levante,Home,Won,4,1,90,Second half
466,2015-09-20,FC Barcelona,Levante,61,Penalty,Left foot,10,PRM,La Liga,4,1,Home,28,FC Barcelona,Levante,Home,Won,3,0,61,Second half
465,2015-09-12,Atlético Madrid,FC Barcelona,77,Field goal,Left foot,10,PRM,La Liga,1,2,Away,28,FC Barcelona,Atlético Madrid,Away,Won,1,2,77,Second half
464,2015-09-08,Argentina,Mexico,88,Field goal,Left foot,10,FRN,International friendly,2,2,Draw,28,Argentina,Mexico,Home,Tied,2,2,88,Second half
463,2015-09-04,Argentina,Bolivia,74,Field goal,Left foot,10,FRN,International friendly,7,0,Home,28,Argentina,Bolivia,Home,Won,6,0,74,Second half
462,2015-09-04,Argentina,Bolivia,66,Field goal,Head,10,FRN,International friendly,7,0,Home,28,Argentina,Bolivia,Home,Won,5,0,66,Second half
461,2015-08-17,FC Barcelona,Athletic de Bilbao,43,Field goal,Left foot,10,SUP,Spanish Super Cup,1,1,Draw,28,FC Barcelona,Athletic de Bilbao,Home,Tied,1,0,43,First half
460,2015-08-11,FC Barcelona,Sevilla,15,Free kick,Left foot,10,IUP,UEFA European Super Cup,5,4,Home,28,FC Barcelona,Sevilla,Home,Won,2,1,15,First half
459,2015-08-11,FC Barcelona,Sevilla,7,Free kick,Left foot,10,IUP,UEFA European Super Cup,5,4,Home,28,FC Barcelona,Sevilla,Home,Won,1,1,7,First half
458,2015-06-13,Argentina,Paraguay,35,Penalty,Left foot,10,CPA,Copa América 2015,2,2,Draw,27,Argentina,Paraguay,Home,Tied,2,0,35,First half
457,2015-05-30,Athletic de Bilbao,FC Barcelona,74,,Left foot,10,CUP,Copa del Rey,1,3,Away,27,FC Barcelona,Athletic de Bilbao,Away,Won,0,3,74,Second half
456,2015-05-30,Athletic de Bilbao,FC Barcelona,20,Solo run,Left foot,10,CUP,Copa del Rey,1,3,Away,27,FC Barcelona,Athletic de Bilbao,Away,Won,0,1,20,First half
455,2015-05-23,FC Barcelona,Deportivo La Coruña,59,,Right foot,10,PRM,La Liga,2,2,Draw,27,FC Barcelona,Deportivo La Coruña,Home,Tied,2,0,59,Second half
454,2015-05-23,FC Barcelona,Deportivo La Coruña,5,,Head,10,PRM,La Liga,2,2,Draw,27,FC Barcelona,Deportivo La Coruña,Home,Tied,1,0,5,First half
453,2015-05-17,Atlético Madrid,FC Barcelona,65,,Left foot,10,PRM,La Liga,0,1,Away,27,FC Barcelona,Atlético Madrid,Away,Won,0,1,65,Second half
452,2015-05-06,FC Barcelona,Bayern München,80,,Right foot,10,EUR,UEFA Champions League,3,0,Home,27,FC Barcelona,Bayern München,Home,Won,2,0,80,Second half
451,2015-05-06,FC Barcelona,Bayern München,77,,Left foot,10,EUR,UEFA Champions League,3,0,Home,27,FC Barcelona,Bayern München,Home,Won,1,0,77,Second half
450,2015-05-02,Córdoba,FC Barcelona,80,Rebound,Left foot,10,PRM,La Liga,0,8,Away,27,FC Barcelona,Córdoba,Away,Won,0,6,80,Second half
449,2015-05-02,Córdoba,FC Barcelona,46,,Head,10,PRM,La Liga,0,8,Away,27,FC Barcelona,Córdoba,Away,Won,0,3,46,Second half
448,2015-04-28,FC Barcelona,Getafe,47,Field goal,Left foot,10,PRM,La Liga,6,0,Home,27,FC Barcelona,Getafe,Home,Won,6,0,47,Second half
447,2015-04-28,FC Barcelona,Getafe,9,Penalty,Left foot,10,PRM,La Liga,6,0,Home,27,FC Barcelona,Getafe,Home,Won,1,0,9,First half
446,2015-04-25,Espanyol,FC Barcelona,25,,Left foot,10,PRM,La Liga,0,2,Away,27,FC Barcelona,Espanyol,Away,Won,0,2,25,First half
445,2015-04-18,FC Barcelona,Valencia,90+4,Rebound,Left foot,10,PRM,La Liga,2,0,Home,27,FC Barcelona,Valencia,Home,Won,2,0,94,Additional time
444,2015-04-11,Sevilla,FC Barcelona,14,,Left foot,10,PRM,La Liga,2,2,Draw,27,FC Barcelona,Sevilla,Away,Tied,0,1,14,First half
443,2015-04-08,FC Barcelona,UD Almería,33,Solo run,Left foot,10,PRM,La Liga,4,0,Home,27,FC Barcelona,UD Almería,Home,Won,1,0,33,First half
442,2015-03-14,Eibar,FC Barcelona,55,,Head,10,PRM,La Liga,0,2,Away,27,FC Barcelona,Eibar,Away,Won,0,2,55,Second half
441,2015-03-14,Eibar,FC Barcelona,31,Penalty,Left foot,10,PRM,La Liga,0,2,Away,27,FC Barcelona,Eibar,Away,Won,0,1,31,First half
440,2015-03-08,FC Barcelona,Rayo Vallecano,68,,Left foot,10,PRM,La Liga,6,1,Home,27,FC Barcelona,Rayo Vallecano,Home,Won,5,0,68,Second half
439,2015-03-08,FC Barcelona,Rayo Vallecano,63,Rebound,Left foot,10,PRM,La Liga,6,1,Home,27,FC Barcelona,Rayo Vallecano,Home,Won,4,0,63,Second half
438,2015-03-08,FC Barcelona,Rayo Vallecano,56,Penalty,Left foot,10,PRM,La Liga,6,1,Home,27,FC Barcelona,Rayo Vallecano,Home,Won,3,0,56,Second half
437,2015-02-28,Granada,FC Barcelona,70,,Right foot,10,PRM,La Liga,1,3,Away,27,FC Barcelona,Granada,Away,Won,1,3,70,Second half
436,2015-02-15,FC Barcelona,Levante,65,Penalty,Left foot,10,PRM,La Liga,5,0,Home,27,FC Barcelona,Levante,Home,Won,4,0,65,Second half
435,2015-02-15,FC Barcelona,Levante,59,Field goal,Right foot,10,PRM,La Liga,5,0,Home,27,FC Barcelona,Levante,Home,Won,3,0,59,Second half
434,2015-02-15,FC Barcelona,Levante,38,Field goal,Right foot,10,PRM,La Liga,5,0,Home,27,FC Barcelona,Levante,Home,Won,2,0,38,First half
433,2015-02-11,FC Barcelona,Villarreal,41,,Left foot,10,CUP,Copa del Rey,3,1,Home,27,FC Barcelona,Villarreal,Home,Won,1,0,41,First half
432,2015-02-08,Athletic de Bilbao,FC Barcelona,15,Free kick,Left foot,10,PRM,La Liga,2,5,Away,27,FC Barcelona,Athletic de Bilbao,Away,Won,0,1,15,First half
431,2015-02-01,FC Barcelona,Villarreal,55,Field goal,Right foot,10,PRM,La Liga,3,2,Home,27,FC Barcelona,Villarreal,Home,Won,3,2,55,Second half
430,2015-01-24,Elche,FC Barcelona,88,Field goal,Left foot,10,PRM,La Liga,0,6,Away,27,FC Barcelona,Elche,Away,Won,0,5,88,Second half
429,2015-01-24,Elche,FC Barcelona,55,Penalty,Left foot,10,PRM,La Liga,0,6,Away,27,FC Barcelona,Elche,Away,Won,0,2,55,Second half
428,2015-01-21,FC Barcelona,Atlético Madrid,85,Rebound,Left foot,10,CUP,Copa del Rey,1,0,Home,27,FC Barcelona,Atlético Madrid,Home,Won,1,0,85,Second half
427,2015-01-18,Deportivo La Coruña,FC Barcelona,62,Field goal,Left foot,10,PRM,La Liga,0,4,Away,27,FC Barcelona,Deportivo La Coruña,Away,Won,0,3,62,Second half
426,2015-01-18,Deportivo La Coruña,FC Barcelona,33,Field goal,Left foot,10,PRM,La Liga,0,4,Away,27,FC Barcelona,Deportivo La Coruña,Away,Won,0,2,33,First half
425,2015-01-18,Deportivo La Coruña,FC Barcelona,10,Field goal,Head,10,PRM,La Liga,0,4,Away,27,FC Barcelona,Deportivo La Coruña,Away,Won,0,1,10,First half
424,2015-01-11,FC Barcelona,Atlético Madrid,87,Field goal,Left foot,10,PRM,La Liga,3,1,Home,27,FC Barcelona,Atlético Madrid,Home,Won,3,1,87,Second half
423,2015-01-08,FC Barcelona,Elche,45,Penalty,Left foot,10,CUP,Copa del Rey,5,0,Home,27,FC Barcelona,Elche,Home,Won,3,0,45,First half
422,2014-12-20,FC Barcelona,Córdoba,90+1,Field goal,Right foot,10,PRM,La Liga,5,0,Home,27,FC Barcelona,Córdoba,Home,Won,5,0,91,Additional time
421,2014-12-20,FC Barcelona,Córdoba,82,Field goal,Right foot,10,PRM,La Liga,5,0,Home,27,FC Barcelona,Córdoba,Home,Won,4,0,82,Second half
420,2014-12-10,FC Barcelona,Paris Saint-Germain,19,,Right foot,10,EUR,UEFA Champions League,3,1,Home,27,FC Barcelona,Paris Saint-Germain,Home,Won,1,1,19,First half
419,2014-12-07,FC Barcelona,Espanyol,81,Field goal,Right foot,10,PRM,La Liga,5,1,Home,27,FC Barcelona,Espanyol,Home,Won,5,1,81,Second half
418,2014-12-07,FC Barcelona,Espanyol,50,Field goal,Right foot,10,PRM,La Liga,5,1,Home,27,FC Barcelona,Espanyol,Home,Won,2,1,50,Second half
417,2014-12-07,FC Barcelona,Espanyol,45,Field goal,Left foot,10,PRM,La Liga,5,1,Home,27,FC Barcelona,Espanyol,Home,Won,1,1,45,First half
416,2014-11-25,APOEL FC,FC Barcelona,87,,Right foot,10,EUR,UEFA Champions League,0,4,Away,27,FC Barcelona,APOEL FC,Away,Won,0,4,87,Second half
415,2014-11-25,APOEL FC,FC Barcelona,58,,Right foot,10,EUR,UEFA Champions League,0,4,Away,27,FC Barcelona,APOEL FC,Away,Won,0,3,58,Second half
414,2014-11-25,APOEL FC,FC Barcelona,38,,Right foot,10,EUR,UEFA Champions League,0,4,Away,27,FC Barcelona,APOEL FC,Away,Won,0,2,38,First half
413,2014-11-22,FC Barcelona,Sevilla,78,Field goal,Left foot,10,PRM,La Liga,5,1,Home,27,FC Barcelona,Sevilla,Home,Won,5,1,78,Second half
412,2014-11-22,FC Barcelona,Sevilla,72,Field goal,Right foot,10,PRM,La Liga,5,1,Home,27,FC Barcelona,Sevilla,Home,Won,4,1,72,Second half
411,2014-11-22,FC Barcelona,Sevilla,21,Free kick,Left foot,10,PRM,La Liga,5,1,Home,27,FC Barcelona,Sevilla,Home,Won,1,0,21,First half
410,2014-11-12,Argentina,Croatia,57,Penalty,Left foot,10,FRN,International friendly,2,1,Home,27,Argentina,Croatia,Home,Won,2,1,57,Second half
409,2014-11-05,Ajax,FC Barcelona,76,,Left foot,10,EUR,UEFA Champions League,0,2,Away,27,FC Barcelona,Ajax,Away,Won,0,2,76,Second half
408,2014-11-05,Ajax,FC Barcelona,36,,Head,10,EUR,UEFA Champions League,0,2,Away,27,FC Barcelona,Ajax,Away,Won,0,1,36,First half
407,2014-10-21,FC Barcelona,Ajax,24,,Left foot,10,EUR,UEFA Champions League,3,1,Home,27,FC Barcelona,Ajax,Home,Won,2,0,24,First half
406,2014-10-18,FC Barcelona,Eibar,74,Field goal,Left foot,10,PRM,La Liga,3,0,Home,27,FC Barcelona,Eibar,Home,Won,3,0,74,Second half
405,2014-10-14,Hong Kong,Argentina,84,Solo run,Left foot,10,FRN,International friendly,0,7,Away,27,Argentina,Hong Kong,Away,Won,0,7,84,Second half
